;Supplementary Table 2. Differential gene expression analyses in Dux WT and MZ-KO 2-cell embryos;;;;;;;;;;;;;;;;RPKM: Reads Per Kilobase of gene, per Million mapped reads
Gene Symbol;RPKM;;;;;;;;DESeq_output;;;;;;;Group (FC>2&FDR<0.05);Three RNA-seq replicates from each group were used for analyses. Negative binomial test from DESeq R package was used to compute FDR using raw read counts of each gene.  Differentially expressed genes were defined as (RPKM > 1 in either WT or MZ-KO, FDR < 0.05, and FC > 2)
;WT_rep1;WT_rep2;WT_rep3;MZ-KO_rep1;MZ-KO_rep2;MZ-KO_rep3;WT_mean;KO_mean;baseMean;baseMeanA;baseMeanB;fold change (FC);log2FC;pval;FDR;;Related to Figure 2A
1200011M11Rik;3,95556;6,26867;7,7997;3,97127;4,37543;6,22729;6,007976667;4,857996667;289,4876893;314,4993229;264,4760557;0,840943164;-0,249919797;0,424257345;0,914621941;similar level;
1200014J11Rik;8,3117;11,5206;13,5071;8,30525;11,4558;10,7566;11,11313333;10,17255;1188,265394;1221,286225;1155,244563;0,945924502;-0,080203055;0,790496883;0,996190131;similar level;
1200016B10Rik;85,924;99,1673;143,67;74,2139;82,5232;111,717;109,5871;89,4847;6275,594237;6804,653155;5746,535318;0,844500842;-0,243829234;0,335514699;0,865947215;similar level;
1300001I01Rik;2,07608;1,88392;1,33839;2,83815;1,53402;1,87029;1,76613;2,08082;182,5550385;161,7073983;203,4026788;1,257843988;0,330952994;0,44590016;0,925963907;similar level;
1300002E11Rik;41,5266;29,5927;28,658;49,3812;43,8789;56,5986;33,2591;49,9529;489,1444331;386,2439051;592,0449611;1,532826676;0,616194574;0,039183059;0,403143284;similar level;
1300002K09Rik;0,943808;0,601034;0,966504;0,969553;1,52448;0,862949;0,837115333;1,118994;62,70567228;50,66989301;74,74145156;1,475066299;0,5607798;0,308253547;0,850946204;similar level;
1300010F03Rik;3,00381;2,44231;2,08583;1,48299;2,60355;2,35052;2,51065;2,145686667;210,4669127;226,1862028;194,7476226;0,861005756;-0,215905212;0,686691134;0,978587319;similar level;
1300014I06Rik;1,63364;1,40032;0,675544;0,766418;0,621567;0,831634;1,236501333;0,739873;29,63610972;36,86618415;22,40603529;0,607766597;-0,718410709;0,366394534;0,88073955;similar level;
1300015D01Rik;0,0185149;0,133908;0,028711;0,205726;0,0864556;0,407827;0,060377967;0,2333362;9,919874125;4,260374583;15,57937367;3,656808425;1,870585048;0,182904777;0,743481681;similar level;
1300017J02Rik;3,15836;1,7273;3,35581;2,98946;4,14219;1,72634;2,747156667;2,952663333;120,3192885;110,7274764;129,9111006;1,173250803;0,230511447;0,69985314;0,982437951;similar level;
1300018I17Rik;1,45846;1,47448;1,60503;2,9013;1,7575;1,9897;1,512656667;2,216166667;90,28156515;74,07107911;106,4920512;1,43770082;0,523763488;0,339273979;0,867385661;similar level;
1300018J18Rik;0,0986095;0,0558471;0,251438;0,229955;0,026325;0,271974;0,1352982;0,176084667;17,61916465;17,34757989;17,89074941;1,031310968;0,04447941;0,970278379;1;similar level;
1500001M20Rik;9,05811;4,85276;6,97444;7,89807;8,71397;12,969;6,96177;9,860346667;149,9968932;121,8220685;178,1717179;1,46255699;0,548492842;0,166529899;0,719815512;similar level;
1500002O10Rik;0,176568;0,319255;0,889864;0;0,480952;0,700067;0,461895667;0,393673;11,59663804;13,44864915;9,744626923;0,724580351;-0,464782411;0,778944732;0,995417097;similar level;
1500002O20Rik;1,25427;0,611963;0,833572;1,06184;1,20856;0,684117;0,899935;0,984839;39,79328473;39,35842495;40,22814451;1,022097418;0,031532709;0,998076636;1;similar level;
1500003O03Rik;52,1817;48,9393;59,9321;50,2653;64,7521;58,4806;53,68436667;57,83266667;2665,901847;2515,728285;2816,075409;1,119387744;0,162709857;0,476172414;0,93709485;similar level;
1500004A13Rik;0,459892;0,362464;0,507437;0,884429;0,454274;0,109093;0,443264333;0,482598667;48,13550394;44,79115865;51,47984924;1,1493306;0,200793843;0,841362336;1;similar level;
1500009C09Rik;0,18052;0,162936;0,246071;0;0,246993;0,439509;0,196509;0,228834;9,131996728;10,36354883;7,900444624;0,762330043;-0,391512362;0,838210562;1;similar level;
1500009L16Rik;0,305636;1,39998;1,42185;1,49426;2,42619;0,377005;1,042488667;1,432485;24,83591297;22,07141349;27,60041244;1,250504978;0,3225108;0,675223375;0,976580284;similar level;
1500010J02Rik;2,37115;3,4095;3,35616;1,49566;2,19005;1,14952;3,045603333;1,611743333;179,6942342;231,5990843;127,7893841;0,551769816;-0,857861558;0,03912928;0,403143284;similar level;
