gene name;baseMean;log2FoldChange;pvalue;padj;logP;Group;class
Ssbp3;109,5427841;0,646881434;0,069169797;0,171323231;0,766183744;not-signficant;other
Rasd2;90,00261587;0,875370773;0,069196562;0,171360569;0,766089104;not-signficant;other
Taf13;398,5952869;-0,609872901;0,069230283;0,171415116;0,765950883;not-signficant;other
Irf9;29,74979741;1,206203206;0,069316159;0,171574034;0,765548438;not-signficant;other
Prkrir;234,9373678;0,672488989;0,069317876;0,171574034;0,765548438;not-signficant;other
Pcnp;155,6472028;1,000298619;0,069397119;0,171741174;0,765125573;not-signficant;other
Pard3;713,6811488;0,676418505;0,069425687;0,171782869;0,765020149;not-signficant;other
Ppp2r4;69,04904897;-0,785009379;0,069475852;0,171877981;0,764779757;not-signficant;other
Hmgn3;78,25401085;1,117223996;0,069531247;0,171985996;0,764506914;not-signficant;other
Mageb16;5,60765711;2,341549925;0,069597122;0,172119895;0,764168929;not-signficant;other
4930539E08Rik;23,62230907;1,165826236;0,069685735;0,172309971;0,76368959;not-signficant;other
4930550C14Rik;57,74551152;0,818787991;0,069768461;0,172375521;0,763524408;not-signficant;other
Ascl1;3,146214416;3,148265724;0,069730099;0,172375521;0,763524408;not-signficant;other
BC052040;37,05135945;0,958759876;0,069771044;0,172375521;0,763524408;not-signficant;maternal
Myh7;2,228128042;-3,657488512;0,069767558;0,172375521;0,763524408;not-signficant;other
Pigq;317,7150317;-0,695927117;0,069748983;0,172375521;0,763524408;not-signficant;other
Jak3;4,850940483;-2,506913829;0,06980096;0,17242037;0,763411427;not-signficant;other
Nudt13;4,637078966;-2,729457409;0,069878014;0,172581623;0,763005451;not-signficant;other
Sall4;563,3989706;-0,557219325;0,069897592;0,172600894;0,76295696;not-signficant;maternal
Kctd2;5,74248978;2,300948897;0,069912497;0,172608621;0,762937518;not-signficant;other
Hmx2;2,07874414;4,424308617;0,069946284;0,172651217;0,762830357;not-signficant;other
Puf60;225,8345139;-0,662551299;0,069962414;0,172651217;0,762830357;not-signficant;other
Tnni1;2,920724408;3,878494886;0,069965086;0,172651217;0,762830357;not-signficant;other
Vps13d;132,5267572;-0,713405233;0,070005511;0,172721897;0,762652602;not-signficant;other
Hcn3;5,565183525;-2,326501939;0,070033765;0,172762524;0,762550459;not-signficant;other
Trak1;248,6106542;0,767138004;0,070117245;0,172939353;0,76210617;not-signficant;other
