"Gene_id","Intersection_category","Intersection_count"
"DMTN","B6D2F1 pure (N=1)",1
"DNAJB14","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DNAJB9","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"DNAJC5","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"DPM1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"DPPA4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"DPPA5A","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DR1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"DRC1","B6D2F1 pure (N=1)",1
"DRG1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"DSCC1","B6D2F1 pure (N=1)",1
"DUSP22","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"E030030I06RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ECI1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ECI2","B6D2F1 pure (N=1)",1
"ECSIT","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"EDA","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"EDF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"EEF1AKMT1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"EEF1AKMT2","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"EFR3A","B6D2F1 pure (N=1)",1
"EIF4EBP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ELL2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ELOA","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ELOB","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"EMC4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"EML1","B6D2F1 pure (N=1)",1
"ERCC1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ESF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ETFB","B6D2F1 pure (N=1)",1
"EXD2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"EXOSC5","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"FAF2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"FAM102A","B6D2F1 pure (N=1)",1
"FAM45A","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FAM76A","B6D2F1 pure (N=1)",1
"FAM83D","B6D2F1 pure (N=1)",1
"FANCA","B6D2F1 pure (N=1)",1
"FANCM","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"FBL","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FBXO15","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FBXO17","B6D2F1 pure (N=1)",1
"FBXO47","B6D2F1 pure (N=1)",1
"FBXW2","B6D2F1 pure (N=1)",1
"FCGRT","B6D2F1 pure (N=1)",1
"FDPS","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"FEM1C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"FKBP11","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"FKBP3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FKBP4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"FMR1NB","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"FRG2F1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"FUNDC1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"G2E3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GABARAP","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GABARAPL2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GADD45A","B6D2F1 pure (N=1)",1
"GADD45G","B6D2F1 pure (N=1)",1
"GCA","B6D2F1 pure (N=1)",1
"GCN1L1","B6D2F1 pure (N=1)",1
"GCSH","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"GFPT1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"GLA","B6D2F1 pure (N=1)",1
"GLUL","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"GM10012","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"GM10704","B6D2F1 pure (N=1)",1
"GM10715","B6D2F1 pure (N=1)",1
"GM10717","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM10718","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM10719","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM10721","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"GM10722","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM10800","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM10801","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM11168","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
