"Intersection_category","Intersection_count","Gene_name","Gene_id"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cenpt","ENSMUSG00000036672"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cenpw","ENSMUSG00000075266"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cep63","ENSMUSG00000032534"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cfdp1","ENSMUSG00000031954"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cggbp1","ENSMUSG00000054604"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Chd1","ENSMUSG00000023852"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Chek2","ENSMUSG00000029521"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Chmp2a","ENSMUSG00000033916"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Chpt1","ENSMUSG00000060002"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Chrna1","ENSMUSG00000027107"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Chst12","ENSMUSG00000036599"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Churc1","ENSMUSG00000090258"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Clic4","ENSMUSG00000037242"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Clk4","ENSMUSG00000020385"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Clp1","ENSMUSG00000027079"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Clpp","ENSMUSG00000002660"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Clpx","ENSMUSG00000015357"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cmss1","ENSMUSG00000022748"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Cnep1r1","ENSMUSG00000036810"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cnnm2","ENSMUSG00000064105"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Cnot10","ENSMUSG00000056167"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Cnpy3","ENSMUSG00000023973"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Coa6","ENSMUSG00000051671"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Coa7","ENSMUSG00000048351"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Commd5","ENSMUSG00000055041"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Commd7","ENSMUSG00000056941"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cops6","ENSMUSG00000019494"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Coq4","ENSMUSG00000026798"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cox14","ENSMUSG00000023020"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cox17","ENSMUSG00000046516"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cox7b","ENSMUSG00000031231"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cox7c","ENSMUSG00000017778"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cpsf6","ENSMUSG00000055531"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cptp","ENSMUSG00000029073"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Crb3","ENSMUSG00000044279"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Crot","ENSMUSG00000003623"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Crxos","ENSMUSG00000074365"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cstb","ENSMUSG00000005054"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cstf2t","ENSMUSG00000053536"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cstf3","ENSMUSG00000027176"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Ctf2","ENSMUSG00000060034"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Ctsb","ENSMUSG00000021939"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Ctsl","ENSMUSG00000021477"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cul3","ENSMUSG00000004364"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Cul9","ENSMUSG00000040327"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Cux2","ENSMUSG00000042589"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Cyhr1","ENSMUSG00000053929"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Cystm1","ENSMUSG00000046727"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"D030056L22Rik","ENSMUSG00000047044"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"D13Ertd608e","ENSMUSG00000095514"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"D16Ertd472e","ENSMUSG00000022864"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"D8Ertd738e","ENSMUSG00000019362"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Dcaf10","ENSMUSG00000035572"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Dcaf13","ENSMUSG00000022300"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Dcdc2c","ENSMUSG00000020633"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Ddr2","ENSMUSG00000026674"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Ddt","ENSMUSG00000001666"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Ddx20","ENSMUSG00000027905"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ddx21","ENSMUSG00000020075"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ddx27","ENSMUSG00000017999"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Ddx49","ENSMUSG00000057788"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Ddx52","ENSMUSG00000020677"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Decr2","ENSMUSG00000036775"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Denr","ENSMUSG00000023106"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Dhcr7","ENSMUSG00000058454"
